"","irr_256","irr_284","irr_304","irr_1175","irr_1216","irr_1335","irr_1405","MgII_EXIS","MgII_standard","time.x","xrsa_flux","xrsa_flux_observed","xrsa_flux_electrons","xrsb_flux","xrsb_flux_observed","xrsb_flux_electrons","xrsa_flag","xrsb_flag","xrsa_num","month.y","day.y","hour.y","minute.y","year.y","binary"
"654",5.9276997e-05,1.0232945e-05,0.0004047603,8.144436e-05,0.0060316413,0.00017364,0.0001137609,0.28839985,0.2631498,334135,1.0104112e-09,6.4398414e-08,6.3388e-08,5.2151905e-09,1.0239852e-07,9.718334e-08,4,4,60,8,21,0,55,2018,1
"655",5.9459606e-05,1.0142167e-05,0.00040410509,8.148834e-05,0.006016507,0.0001737646,0.000113498856,0.28848207,0.26317218,334200,1e-09,5.7430178e-08,6.016031e-08,2.182425e-09,9.661103e-08,9.442861e-08,4,4,60,8,21,2,0,2018,1
"656",5.91436e-05,1.021503e-05,0.0004041602,8.231022e-05,0.0059738215,0.0001734597,0.00011344136,0.2886188,0.2632094,334285,1.9246904e-09,5.477419e-08,5.28495e-08,6.7166814e-09,8.988966e-08,8.317298e-08,4,4,60,8,21,3,25,2018,1
"657",5.917553e-05,1.01973255e-05,0.00040316372,8.192028e-05,0.006009341,0.00017260601,0.000113631475,0.28825924,0.26311153,334637,1e-09,5.907092e-08,6.471289e-08,1e-09,8.834043e-08,8.9882306e-08,4,4,60,8,21,9,17,2018,1
"658",5.8978323e-05,1.0270956e-05,0.0004028989,8.16908e-05,0.006011567,0.00017284806,0.0001143119,0.28851062,0.26317996,334694,2.7264901e-09,8.3496076e-08,8.076959e-08,8.083329e-09,1.04200275e-07,9.611695e-08,4,4,60,8,21,10,14,2018,1
"659",5.8532576e-05,1.0036715e-05,0.00039973095,8.145913e-05,0.0059442855,0.0001709557,0.000113074115,0.2875737,0.26292485,335672,1.0128183e-08,3.305998e-08,2.2931797e-08,4.6315334e-09,4.4128683e-08,3.9497152e-08,4,4,60,8,22,2,32,2018,1
"660",6.293118e-05,1.2268038e-05,0.00041388298,8.3543695e-05,0.006104988,0.0001763033,0.00011578349,0.28985912,0.26354718,339733,4.530608e-09,1.6278035e-08,1.1747427e-08,5.1073894e-08,6.6857105e-08,1.5783208e-08,4,0,59,8,24,22,13,2018,1
"661",6.373493e-05,1.1917835e-05,0.00040513277,8.2384155e-05,0.0060052113,0.00017269519,0.00011402085,0.28812212,0.26307416,343802,1e-09,5.909646e-08,5.834035e-08,2.24274e-08,1.3681418e-07,1.1438677e-07,4,4,60,8,27,18,2,2018,1
"662",6.38685e-05,1.2236819e-05,0.00040437037,8.229154e-05,0.0059936233,0.00017178118,0.000114042894,0.28781462,0.26299042,343972,1.281839e-08,1.1071471e-07,9.789632e-08,2.6333003e-08,1.661698e-07,1.398368e-07,4,4,60,8,27,20,52,2018,1
"663",6.4004635e-05,1.2206109e-05,0.00040459493,8.215985e-05,0.0060018147,0.0001717082,0.00011426793,0.28771845,0.26296425,343985,1.3148525e-08,1.0579476e-07,9.264624e-08,2.7381978e-08,1.5318668e-07,1.258047e-07,4,4,60,8,27,21,5,2018,1
"664",6.195513e-05,1.28192805e-05,0.0004090183,8.180165e-05,0.006109275,0.0001736648,0.0001142205,0.2888282,0.26326644,361270,7.0064186e-09,1.7693315e-08,1.0686896e-08,1.0795365e-08,2.3546423e-08,1.275106e-08,4,4,60,9,8,21,10,2018,1
"665",6.4469146e-05,1.2485859e-05,0.00041423505,8.299069e-05,0.006145143,0.0001764514,0.000116310206,0.2894668,0.2634403,366763,4.096646e-09,5.7250137e-08,5.3153492e-08,5.981363e-09,8.4367066e-08,7.83857e-08,4,4,59,9,12,16,43,2018,1
"666",6.2093255e-05,1.10783785e-05,0.00041404835,8.271386e-05,0.0061524464,0.00017538201,0.00011491562,0.28887522,0.26327926,370121,1e-09,2.5739032e-08,2.9920916e-08,3.9781662e-09,4.740851e-08,4.343034e-08,4,4,60,9,15,0,41,2018,1
"667",6.0021335e-05,8.985865e-06,0.00040969058,8.013818e-05,0.00603175,0.00017230149,0.00011337672,0.28762493,0.2629388,381998,5.7857688e-09,1.1736375e-08,5.9506062e-09,6.1337193e-09,1.7900641e-08,1.1766921e-08,4,4,60,9,23,6,38,2018,1
"668",6.0462386e-05,9.97272e-06,0.00040603828,8.221046e-05,0.006057054,0.00017361325,0.00011482851,0.28652924,0.26264042,385583,1.1240036e-08,2.9278972e-08,1.8038937e-08,1.0220537e-08,3.911765e-08,2.8897112e-08,4,4,60,9,25,18,23,2018,1
"669",6.0190807e-05,9.396481e-06,0.00040607317,8.291293e-05,0.0060840696,0.00017357794,0.00011435706,0.28735772,0.26286602,388254,9.950648e-09,5.9309475e-08,4.9358828e-08,7.4131594e-09,9.0437986e-08,8.302482e-08,4,4,59,9,27,14,54,2018,1
"670",6.0057147e-05,9.420792e-06,0.0004069643,8.287511e-05,0.0060879723,0.00017378479,0.00011480029,0.28725362,0.26283768,388256,1.143874e-08,6.153014e-08,5.0091394e-08,7.809116e-09,9.236303e-08,8.455392e-08,4,4,60,9,27,14,56,2018,1
"671",6.027012e-05,1.0106187e-05,0.00041192095,8.2739185e-05,0.0061863298,0.00017598039,0.000115808514,0.28880072,0.26325893,392533,4.929267e-09,2.6533707e-08,2.1604441e-08,1.2503137e-08,5.5830416e-08,4.332728e-08,4,4,60,9,30,14,13,2018,1
"672",5.9566242e-05,1.05679355e-05,0.00040782755,8.334931e-05,0.0061008385,0.00017590504,0.00011615143,0.28825802,0.26311117,397612,4.6445923e-09,9.349348e-09,4.7047557e-09,6.448137e-09,1.5486037e-08,9.0379e-09,4,4,60,10,4,2,52,2018,1
"673",6.225012e-05,9.819509e-06,0.0004188791,8.407011e-05,0.0059685535,0.00017711023,0.000117035546,0.2887873,0.2632553,403452,2.9490725e-09,1.3084885e-08,1.0135812e-08,1e-09,2.2069282e-08,2.5058977e-08,4,4,60,10,8,4,12,2018,1
"674",6.224705e-05,9.9483495e-06,0.00041796317,8.24801e-05,0.0062013245,0.00017641074,0.00011598843,0.2888844,0.26328176,403711,1e-09,2.1475142e-08,3.1118244e-08,1e-09,7.0286355e-08,7.5791355e-08,4,4,60,10,8,8,31,2018,1
"675",6.292151e-05,9.993377e-06,0.00041820228,8.515474e-05,0.006218368,0.00017784849,0.00011644813,0.28867114,0.26322368,404170,1e-09,3.7793082e-08,4.8146223e-08,6.4851635e-09,1.3193228e-07,1.2544713e-07,4,4,60,10,8,16,10,2018,1
"676",6.295993e-05,9.993929e-06,0.00041837568,8.497939e-05,0.0062148683,0.00017779852,0.00011708564,0.28871733,0.26323625,404182,1e-09,4.9236014e-08,5.724105e-08,1e-09,1.2125115e-07,1.2129637e-07,4,4,60,10,8,16,22,2018,1
"677",6.317861e-05,9.867026e-06,0.00041857723,8.501955e-05,0.0062231612,0.00017808215,0.00011740499,0.2886742,0.2632245,404249,1e-09,5.692932e-08,6.42454e-08,1e-09,1.0011679e-07,1.0568087e-07,4,4,60,10,8,17,29,2018,1
"678",6.40012e-05,1.03004195e-05,0.00041707323,8.3810795e-05,0.0061957203,0.00017628487,0.0001170326,0.28860506,0.26320568,405288,7.666929e-09,5.0857395e-08,4.3190465e-08,1.5235837e-08,8.12375e-08,6.600167e-08,4,4,60,10,9,10,48,2018,1
"679",6.423626e-05,1.0595299e-05,0.0004172181,8.528291e-05,0.0061993375,0.00017700726,0.00011691292,0.2885769,0.26319802,405388,1.4392917e-08,1.0275819e-07,8.8365276e-08,1.910517e-08,1.6330299e-07,1.4419781e-07,4,4,60,10,9,12,28,2018,1
